video_id,pitch_mean,pitch_std,energy_mean,energy_std,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,spectral_centroid_mean,zcr_mean,word_count,sentence_count,avg_word_length,vocab_diversity,filler_word_ratio,curiosity_score,critical_thinking_score,creativity_score,openness,conscientiousness,extraversion,agreeableness,neuroticism,interview_score,overall_performance
1,258.3005895589184,98.36286014055148,0.0423912331461906,0.0302316881716251,-306.39044189453125,128.90951538085938,36.38109970092773,58.92723846435547,14.317156791687012,47.26815414428711,9.233137130737305,34.48753356933594,-8.816877365112305,21.114974975585938,7.238104343414307,16.52950096130371,-12.76358699798584,14.477347373962402,-9.841595649719238,16.136005401611328,-16.408645629882812,14.474712371826172,-5.684718132019043,10.643898010253906,-17.137636184692383,11.57258415222168,-6.985766410827637,10.922987937927246,3.940786123275757,10.225018501281738,2607.350639550712,0.2209438523270787,99,5,5.040404040404041,0.7373737373737373,0.0,2.13,2.94,2.13,-0.6530864781430419,-0.0486875239138228,-0.6910341478792781,-0.2928224999820918,0.1896422785140736,-0.92274277989017,-0.4563523865757841
2,248.6278938639052,81.83549786923632,0.0341613218188285,0.0191310308873653,-281.8705139160156,79.33100891113281,74.51634979248047,49.6893424987793,8.531312942504883,29.92427635192871,17.113265991210938,22.717241287231445,-9.979569435119627,14.075682640075684,-8.176993370056152,18.337759017944336,-14.499523162841797,16.15730857849121,-5.570918560028076,12.35387134552002,-3.4428727626800537,13.63936996459961,-6.442158222198486,10.303956985473633,-3.5850989818573,9.436007499694824,0.1836122721433639,9.67795181274414,-6.255470275878906,8.431982040405273,2044.4434818722973,0.1566816850142045,39,3,5.205128205128205,0.8974358974358975,0.0,2.99,3.17,2.99,-0.0073902935550767,0.1284262170857889,-0.1248316084034361,-0.1498892743217474,0.0877688440179755,-0.1735703357670629,-0.1933188334143751
3,142.71597622596175,73.79721663569445,0.0230874381959438,0.0235362742096185,-321.5517883300781,77.35797882080078,113.11516571044922,43.85197830200195,-13.38693141937256,22.527273178100582,16.342212677001953,17.659313201904297,8.137892723083496,13.0115327835083,3.8127715587615967,9.819419860839844,2.788336753845215,10.980780601501465,-9.94645881652832,11.498346328735352,-10.564050674438477,10.863462448120115,-6.955260753631592,10.873397827148438,-6.026508808135986,11.231741905212402,-1.5876127481460571,7.979308605194092,-8.808821678161621,9.260193824768066,1513.457114682186,0.119568327260837,54,7,4.574074074074074,0.7592592592592593,0.0,3.3,3.37,3.3,0.2213448878846195,0.2806193255432059,0.2460760984109241,0.3794581980095758,-0.1870374411516879,0.1840241656994858,0.2622463307685596
4,153.18484196671292,74.46138775465869,0.0029705301858484,0.0020061654504388,-403.5637817382813,52.3341178894043,92.44673919677734,13.782855987548828,-27.13734245300293,8.627884864807129,6.682680130004883,7.329411029815674,3.2392895221710205,6.938907146453857,10.93030071258545,6.987228393554688,5.147362232208252,6.028722286224365,-5.286045074462891,6.312211513519287,-3.3946712017059326,5.221715927124023,-3.404757261276245,5.343099594116211,-1.3626677989959717,5.434197425842285,-7.0581488609313965,5.17884635925293,-0.4591772556304931,5.147559642791748,1794.9771489958,0.1399197931499186,0,0,0.0,0.0,0.0,4.57,4.02,4.57,1.1767971032442834,0.7636678564602318,1.3091526061084648,1.3054357082932653,-0.1796407205394275,1.551772949421213,1.3386164564153384
5,189.94255122141152,83.80071540503883,0.0324098467826843,0.0265432465821504,-345.74139404296875,121.1377410888672,101.82405090332033,52.0826416015625,-8.967414855957031,47.738677978515625,17.15314483642578,29.088891983032227,-1.2764607667922974,22.59306907653809,-7.5828328132629395,20.85906410217285,-9.013754844665527,18.265974044799805,-16.587377548217773,18.71804618835449,-9.892653465270996,14.070960998535156,-14.076324462890623,14.271267890930176,-9.32050323486328,11.418999671936035,-5.9945149421691895,10.382904052734377,-11.603629112243652,11.909621238708496,1534.023223168524,0.1329509274640088,177,10,4.293785310734464,0.615819209039548,0.0338983050847457,1.93,2.27,1.93,-0.8036826407285333,-0.5486802027657621,-0.7770846040444253,-0.7483718494899676,0.0182591457431454,-1.0287432822708575,-0.9057525676825944
6,181.50688574949072,72.7749849727002,0.0407696776092052,0.0299980621784925,-342.39569091796875,92.63724517822266,110.03112030029295,40.08023452758789,2.169930458068848,33.62754821777344,46.29207992553711,38.24225997924805,-8.937241554260254,24.277223587036133,-22.50586128234864,24.177419662475582,-8.215741157531738,19.04465103149414,-12.677748680114746,17.705284118652344,-4.511460304260254,13.835121154785156,-2.421443462371826,16.918542861938477,-7.297890663146973,10.576200485229492,1.0140936374664309,10.381356239318848,-14.773837089538574,12.259187698364258,1433.493427756545,0.1102082569036819,111,6,4.63963963963964,0.7747747747747747,0.0,2.18,3.08,2.18,-0.6133423079464416,0.0634971910531766,-0.4441108758777544,-0.033025818029404,0.0878210291012668,-0.6577174707577405,-0.0687885520196998
7,170.3285906019669,72.99723842670431,0.0161556005477905,0.015586263500154,-327.5354309082031,85.97376251220703,94.48592376708984,44.33281326293945,-22.23179244995117,26.48360061645508,8.864026069641113,21.206525802612305,-6.904592514038086,12.795754432678224,-2.1388869285583496,10.303826332092283,-7.196998119354248,11.654675483703612,-11.225217819213867,8.566157341003418,-10.798327445983888,9.240240097045898,-5.68004035949707,11.137298583984377,-6.8316521644592285,9.494563102722168,-7.355009078979492,8.363433837890625,-9.967103958129885,7.808843612670898,1823.220386715148,0.1385659075797872,75,5,4.906666666666666,0.8,0.0,2.75,3.3,2.75,-0.1895615312902066,0.2262697270390057,0.2136620523330668,0.1291164490875661,-0.1386236844695467,0.0345310400565398,0.0634686905162062
8,258.8345931083498,93.093949203944,0.0182285141199827,0.0218765195459127,-450.579833984375,102.39910125732422,55.71057891845703,57.980377197265625,4.752593994140625,39.08338928222656,11.221227645874023,25.397113800048828,-17.313478469848633,20.72723960876465,-5.290012359619141,17.811357498168945,-4.357554912567139,13.235795021057127,-5.167518138885498,13.197061538696287,-12.560077667236328,14.474510192871094,-9.357922554016112,9.69699001312256,-12.202327728271484,11.406295776367188,-11.91966724395752,11.468498229980469,-8.769953727722168,10.484145164489746,1835.672779129821,0.1307102814885496,34,2,5.352941176470588,0.8529411764705882,0.0,3.55,3.39,3.55,0.4107031241542854,0.2949956406901272,0.2194513566845752,0.1049231004094873,-0.0394923329781029,0.4192596588087742,0.5187434377572815
9,306.4485861694102,89.3301616695678,0.0319138616323471,0.0246767923235893,-414.2847595214844,137.79934692382812,80.9404067993164,55.5706901550293,-27.65290641784668,45.9822883605957,17.465791702270508,31.78736686706543,-27.55987930297852,25.74872398376465,-3.558605432510376,16.488719940185547,-16.34391975402832,16.783021926879883,-17.344743728637695,15.709510803222656,-11.045180320739746,15.658226013183594,-18.19710922241211,13.62184238433838,-7.93015193939209,11.519946098327637,-15.20108413696289,12.483205795288086,-6.991471767425537,11.321258544921877,1567.7235944566787,0.1092451967265271,72,7,5.138888888888889,0.7777777777777778,0.0,3.1,3.75,3.1,0.0738704755571449,0.5638558634923633,-0.23623007873945,0.0590693481387283,0.1514056411941663,0.3185942193215421,0.1213355991659909
10,179.2862950181098,75.12755067820895,0.0392681285738945,0.0342517271637916,-357.3192138671875,78.96357727050781,103.98995208740234,43.74249649047852,15.152518272399902,29.60001564025879,30.980356216430664,36.56695938110352,-3.503472328186035,19.101072311401367,-28.72532844543457,23.92740249633789,-13.596268653869627,14.820826530456545,-10.494622230529783,12.702845573425291,-16.70052719116211,15.77367115020752,-7.847743034362793,16.651782989501953,3.853914260864258,10.679255485534668,-6.250026226043701,10.374017715454102,-12.839522361755373,13.788946151733398,1320.710273882387,0.0998903957943196,73,4,4.780821917808219,0.7397260273972602,0.0,2.11,2.85,2.11,-0.6704405720858463,-0.1143001345026406,-0.5449953008344482,-0.8170376630644434,0.3128790923848373,-0.8355197078581368,-0.5464009382273862
11,163.77260594137869,64.84401247288164,0.0364748761057853,0.026943264529109,-326.6541748046875,118.06277465820312,98.76133728027344,52.23194122314453,-14.4872465133667,39.45112228393555,43.17708969116211,37.32984161376953,16.531631469726562,19.81299018859864,-12.047661781311035,19.734643936157227,-8.123534202575684,16.48858070373535,-19.456674575805664,20.449281692504883,-9.840490341186523,16.819963455200195,1.8016705513000488,13.619319915771484,-4.857341289520264,11.49968433380127,0.7894327640533447,10.729971885681152,2.7952847480773926,9.383002281188965,1651.0256831657057,0.1263001907703488,168,17,4.708333333333333,0.6547619047619048,0.0178571428571428,1.79,2.69,1.79,-0.9063845308551536,-0.2340094877510454,-1.0216534056613904,-0.7073958659763278,0.0572361284882376,-1.161839957846355,-0.7402300227228235
12,226.5159675444292,91.018397447534,0.0337851718068122,0.0308368671685457,-311.6291809082031,70.73933410644531,107.63182830810548,41.96711349487305,-8.406009674072266,22.32324981689453,15.999626159667969,18.65560340881348,11.129754066467283,11.15309715270996,4.021106243133545,12.105616569519045,-0.4254746437072754,9.872878074645996,-9.769211769104004,11.1069917678833,-8.69748592376709,9.558215141296388,-5.676844120025635,8.946202278137207,-0.9891419410705566,9.062481880187988,0.4346146285533905,10.17820167541504,-10.02912139892578,7.94190788269043,1497.3609195187955,0.1018692181859205,42,4,4.571428571428571,0.9047619047619048,0.0,3.58,3.18,3.58,0.4364108674063771,0.1314909809289666,0.2934024256440791,0.0956943920265877,0.0029033610008928,0.4515128774779705,0.1509549739606402
