trait,mae,rmse,r2,cv_r2_mean,samples
curiosity,0.727509574785128,0.9161038617211376,0.24600139172179314,0.2611490569535155,2011
critical_thinking,0.6580868455799027,0.8533473101500147,0.16057330047068163,0.2067852751276272,2011
creativity,0.727509574785128,0.9161038617211376,0.24600139172179314,0.2611490569535155,2011
