trait,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,cv_mae,n_features,n_train_samples,n_test_samples
Curiosity,0.29543694885361554,0.7049015873015875,0.4285349311284985,0.9980322308987944,0.7600803683390022,-0.7786934534157581,0.7890531305114639,539,18,5
Critical Thinking,0.3752026014109347,0.8179753968253969,0.5335752793475571,1.0877435990640152,0.7646846032939112,-0.23248555969243467,0.9558011463844799,539,18,5
Creativity,0.3289179894179895,0.8850333333333333,0.49146496387899785,1.247183014726476,0.8003616054248229,-0.08018435570987581,1.0078617724867724,539,18,5
