trait,train_mae,test_mae,test_rmse,test_r2,cv_mae,cv_std
curiosity_score,0.28138089053803333,0.4876349206349205,0.6760069427315929,0.15873144735621558,0.8773960738335739,0.1719866947622225
critical_thinking_score,0.35800634920634905,0.4199708994708993,0.6344450766588106,0.3479167004195015,0.9793137325637323,0.2663443596503865
creativity_score,0.3112985260770975,0.6114625220458554,0.6905352790213505,-0.01641991309001689,0.8863492464325797,0.2579088387530294
